#entity_name,page_rank, click_log_percentage,label
wiki:David_Saltzberg,0.18463,0.94608,5
wiki:Faye_Oshima_Belyeu,0.26536,0.93448,5
wiki:Steven_Molaro,0.30732,0.82505,5
wiki:Kevin_Sussman,0.47299,0.74140,5
wiki:Melissa_Rauch,0.30688,0.70938,5
wiki:Bill_Prady,0.50519,0.60649,5
wiki:Simon_Helberg,0.59944,0.58539,5
wiki:Mayim_Bialik,0.76706,0.57810,5
wiki:Kunal_Nayyar,0.44371,0.57722,5
wiki:Iris_Bahr,0.23119,0.54308,5
wiki:Penny_(The_Big_Bang_Theory),0.31953,0.53321,5
wiki:Raj_Koothrappali,0.54333,0.51284,5
wiki:Kaley_Cuoco,1.17747,0.49252,5
wiki:Sara_Gilbert,0.94298,0.48563,5
wiki:Johnny_Galecki,0.81407,0.45553,5
wiki:Sheldon_Cooper,0.95902,0.45200,5
wiki:Leonard_Hofstadter,0.56855,0.44916,5
wiki:Howard_Wolowitz,0.36041,0.44876,5
wiki:Carol_Ann_Susi,0.28141,0.43513,5
wiki:Jim_Parsons,1.21735,0.42121,5
wiki:Michael_J._Massimino,0.36886,0.40255,4
wiki:Sheldon_Leonard,1.16420,0.37054,4
wiki:Mark_Cendrowski,0.44379,0.32503,4
wiki:Aarti_Mann,0.19401,0.29572,4
wiki:Chuck_Lorre,0.91133,0.23098,4
wiki:George_Smoot,0.87901,0.19546,4
wiki:Amanda_Walsh,0.40818,0.16806,4
wiki:Brian_Greene,1.38543,0.10502,4
wiki:Kate_Micucci,0.48824,0.06158,4
wiki:Judge_Judy,3.09573,0.05093,4
wiki:Simon_Singh,1.77224,0.04726,4
wiki:James_Burrows,1.19170,0.04015,4
wiki:Laurie_Metcalf,1.62191,0.03705,4
wiki:The_Talk_(TV_series),1.09057,0.03545,4
wiki:Ed_Robertson,0.83073,0.03008,4
wiki:Blossom_(TV_series),1.72278,0.02886,3
wiki:Christine_Baranski,1.38410,0.02527,3
wiki:Neil_deGrasse_Tyson,2.26850,0.01809,2
wiki:Thomas_Dolby,2.90353,0.01531,2
wiki:Wil_Wheaton,2.52121,0.01155,2
wiki:Perfect_Couples,0.54464,0.01121,2
wiki:Two_and_a_Half_Men,6.43997,0.01006,2
wiki:Babylon_5,11.13950,0.00982,2
wiki:Bob_Newhart,3.83565,0.00908,2
wiki:Katee_Sackhoff,1.01162,0.00809,2
wiki:Modern_Family,6.74343,0.00758,2
wiki:Brent_Spiner,1.83840,0.00372,2
wiki:LeVar_Burton,1.91628,0.00369,2
wiki:Friends,16.63271,0.00366,1
wiki:People's_Choice_Awards,8.25629,0.00308,1
wiki:Wheel_of_Fortune_(U.S._game_show),6.60204,0.00237,1
wiki:NCIS_(TV_series),12.07811,0.00229,1
wiki:Firefly_(TV_series),4.17047,0.00215,1
wiki:Doctor_Who,60.26767,0.00208,1
wiki:George_Takei,3.01543,0.00166,1
wiki:Stephen_Hawking,15.83098,0.00139,1
wiki:Aquaman,3.92930,0.00109,1
wiki:Leonard_Nimoy,4.91422,0.00080,1
wiki:Star_Trek:_The_Next_Generation,16.67878,0.00065,1
wiki:Superman,28.09900,0.00000,1
wiki:Batman,24.39499,0.00000,1
wiki:Star_Trek:_The_Original_Series,13.82655,0.00000,1
wiki:Joss_Whedon,7.07620,0.00000,1
wiki:NFL_on_CBS,5.99056,0.00000,1
wiki:NBC_Sunday_Night_Football,5.78776,0.00000,1
wiki:Roseanne,5.51440,0.00000,1
wiki:Thursday_Night_Football,2.47230,0.00000,1
wiki:Tom_Shales,1.65047,0.00000,1
wiki:Welcome_to_The_Captain,0.31584,0.00000,1
